item,itemLabel,startDate,endDate,sourceDate,psid
Q268588,Abu-Bakr Yunis Jabr,1970-01-16,2011-10-20,2022-10-20,Q268588-060C9B4F-2E14-4E18-BC04-33C23024B7C0
Q2023088,Omar El-Hariri,2011-03-23,2011-05-19,2022-10-20,Q2023088-E8215600-9080-4AF0-B9AC-1A42C21B9AA2
Q4117013,Jalal al-Digheily,2011-05-19,2011-11-22,2022-10-20,Q4117013-C5B2316C-99B0-40EF-8EAE-2C360E3372D0
Q544307,Osama al-Juwaili,2011-11-22,2012-11-14,2022-10-20,Q544307-5CCC3BFF-62DE-4794-BF24-0CFAAB588345
Q16118502,Mohammed Mahmoud Al Barghathi,2012-11-12,2013-06-27,2022-10-20,Q16118502-12C7C430-1EBB-45D2-94ED-87F94298E1C5
Q15925685,Abdullah al-Thani,2013-08-05,2014-10-23,,Q15925685-89032e86-48ba-b239-9aeb-d0da9da77913
Q19745310,Khalifa al-Ghawi,2015-12-01,2016-04-05,,Q19745310-72fbaced-920b-4347-b5da-247989fec605
Q25999643,Al-Mahdi Al-Barghathi,2016-01-05,2018-07-29,,Q25999643-F62DA217-9470-4DD4-9D23-88853076DE85
Q21089561,Fayez al-Sarraj,2018-09-06,2020-08-29,,Q21089561-92F504AE-7580-49DE-9F61-AF7AAA6BC522
Q114775142,Salah Eddine al-Namrush,2020-08-28,2021-03-15,2022-10-20,Q114775142-74FC12B5-F793-4F8B-9493-6123B90AC6AE
Q105319569,Abdulhamid Dbeibeh,2021-03-15,,,Q105319569-0C222912-531D-424B-ACFA-7615994B0566
