position,title
Q102181806,Chairman of the Presidential Council
Q15305714,Prime Minister
Q114774988,Deputy Prime Minister
Q114884391,Minister of Agriculture
Q114884392,Minister of Civil Service
Q114884393,Minister of Culture and Knowledge Development
Q96393310,Minister of Defence
Q114884394,Minister of Economy & Trade
Q114884395,Minister of Education
Q114884396,Minister of Environment
Q114774925,Minister of Finance
Q114884397,Minister of Financial Resources
Q53862230,Minister of Foreign Affairs
Q114884398,Minister of Health
Q114774924,Minister of Higher Education and Scientific Research
Q114774834,Minister of Housing and Utilities
Q114884399,Minister of Industry and Minerals
Q114774895,Minister of Internal Affairs
Q114774914,Minister of Justice
Q114884400,Minister of Labour
Q114884401,Minister of Livestock and Marine Resources
Q114884402,Minister of Local Government
Q114884403,Minister of Oil and Gas
Q114884404,Minister of Planning
Q114884405,Minister of Social Affairs
Q114884406,Minister of Sports
Q114884407,Minister of State for Communication and Political Affairs
Q114884408,Minister of State for Displaced Affairs and Human Rights
Q114884409,Minister of State for Economic Affairs
Q114884411,Minister of State for Immigration Affairs
Q114884412,Minister of State for Prime Minister and Cabinet Affairs
Q114884413,Minister of State for Women's Affairs
Q114884414,Minister of Technical and Vocational Education
Q62714569,Minister of Tourism
Q114884415,Minister of Transportation
Q114884416,Minister of Youth
